Facility ID,Hospital Name,Detailed Region,Region,Procedure,Year of Hospital Discharge,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate,Risk-Adjusted Mortality Rate,Lower Limit of Confidence Interval,Upper Limit of Confidence Interval,Comparison Results
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,Emergency PCI,2008-2010,496,28,5.65,3.49,5.13,3.41,7.41,Rate significantly higher than Statewide Rate
0925,Good Sam - West Islip,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2008-2010,273,12,4.40,2.84,4.91,2.54,8.58,Rate not different than Statewide Rate
0913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2008-2010,210,2,0.95,2.44,1.24,0.14,4.47,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,Emergency PCI,2008-2010,414,16,3.86,3.56,3.44,1.97,5.59,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Emergency PCI,2008-2010,289,9,3.11,3.05,3.24,1.48,6.16,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Emergency PCI,2008-2010,592,13,2.20,2.84,2.45,1.30,4.19,Rate not different than Statewide Rate
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,Emergency PCI,2008-2010,87,5,5.75,4.16,4.39,1.41,10.24,Rate not different than Statewide Rate
0746,M I Bassett Hospital,Capital District,Capital District,Emergency PCI,2008-2010,280,9,3.21,2.53,4.04,1.84,7.67,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Emergency PCI,2008-2010,585,12,2.05,4.05,1.61,0.83,2.81,Rate significantly lower than Statewide Rate
0213,Mercy Hospital,Western NY - Buffalo,Western NY - Buffalo,Emergency PCI,2008-2010,482,21,4.36,3.08,4.49,2.78,6.86,Rate not different than Statewide Rate
0215,Millard Fillmore Hosp,Western NY - Buffalo,Western NY - Buffalo,Emergency PCI,2008-2010,356,6,1.69,2.69,1.99,0.73,4.32,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Emergency PCI,2008-2010,438,12,2.74,2.60,3.35,1.73,5.85,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Emergency PCI,2008-2010,345,16,4.64,2.55,5.77,3.29,9.37,Rate significantly higher than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Emergency PCI,2008-2010,351,13,3.70,4.61,2.55,1.36,4.36,Rate not different than Statewide Rate
1637,NY Hospital - Queens,Queens,NY Metro - NYC,Emergency PCI,2008-2010,400,15,3.75,3.67,3.24,1.81,5.35,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,Emergency PCI,2008-2010,214,13,6.07,4.05,4.76,2.53,8.13,Rate not different than Statewide Rate
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,Emergency PCI,2008-2010,446,16,3.59,4.81,2.36,1.35,3.84,Rate not different than Statewide Rate
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,Emergency PCI,2008-2010,457,15,3.28,4.96,2.10,1.17,3.46,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Emergency PCI,2008-2010,177,6,3.39,3.69,2.91,1.06,6.34,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2008-2010,939,16,1.70,3.14,1.72,0.98,2.80,Rate significantly lower than Statewide Rate
0686,Orange Regional Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Emergency PCI,2008-2010,276,7,2.54,2.62,3.07,1.23,6.32,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,Emergency PCI,2008-2010,809,27,3.34,2.45,4.33,2.85,6.30,Rate not different than Statewide Rate
1471,SVCMC- St. Vincents,Manhattan,NY Metro - NYC,Emergency PCI,2008-2010,51,6,11.76,3.77,9.91,3.62,21.58,Rate significantly higher than Statewide Rate
0527,South Nassau Com. Hosp,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2008-2010,297,6,2.02,2.87,2.23,0.81,4.86,Rate not different than Statewide Rate
0924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2008-2010,216,6,2.78,2.27,3.89,1.42,8.47,Rate not different than Statewide Rate
0943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2008-2010,134,1,0.75,2.61,0.91,0.01,5.05,Rate not different than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,Emergency PCI,2008-2010,422,13,3.08,3.80,2.57,1.37,4.40,Rate not different than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2008-2010,513,17,3.31,3.83,2.74,1.60,4.39,Rate not different than Statewide Rate
0630,St. Josephs Hospital,Central NY,Central NY,Emergency PCI,2008-2010,1128,26,2.30,2.85,2.57,1.68,3.76,Rate not different than Statewide Rate
0694,St. Lukes Crnwll-Newbrg,NY Metro - New Rochelle,NY Metro - New Rochelle,Emergency PCI,2008-2010,98,3,3.06,3.49,2.78,0.56,8.13,Rate not different than Statewide Rate
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,Emergency PCI,2008-2010,267,12,4.49,4.38,3.26,1.68,5.69,Rate not different than Statewide Rate
0005,St. Peters Hospital,Capital District,Capital District,Emergency PCI,2008-2010,562,13,2.31,2.29,3.21,1.71,5.49,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,Emergency PCI,2008-2010,474,13,2.74,2.89,3.01,1.60,5.15,Rate not different than Statewide Rate
0413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,Emergency PCI,2008-2010,849,25,2.94,2.45,3.81,2.46,5.62,Rate not different than Statewide Rate
0058,UHS - Wilson Med Ctr,Central NY,Central NY,Emergency PCI,2008-2010,498,12,2.41,3.40,2.25,1.16,3.93,Rate not different than Statewide Rate
0471,Unity Hospital,Western NY - Rochester,Western NY - Rochester,Emergency PCI,2008-2010,197,10,5.08,4.60,3.50,1.68,6.44,Rate not different than Statewide Rate
1302,Univ. Brooklyn @ LICH,Kings,NY Metro - NYC,Emergency PCI,2008-2010,129,7,5.43,3.38,5.10,2.04,10.50,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,Emergency PCI,2008-2010,221,8,3.62,3.60,3.19,1.38,6.29,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,CABG,2011,272,1,0.37,1.36,0.33,0.00,1.86,Rate not different than Statewide Rate
0245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2008-2010,1217,40,3.29,2.99,3.48,2.49,4.74,Rate not different than Statewide Rate
0635,Univ. Hosp-Upstate,Central NY,Central NY,Emergency PCI,2008-2010,250,7,2.80,2.92,3.04,1.22,6.27,Rate not different than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Emergency PCI,2008-2010,449,7,1.56,2.56,1.93,0.77,3.98,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Emergency PCI,2008-2010,524,19,3.63,3.74,3.08,1.85,4.80,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,Emergency PCI,2008-2010,41,3,7.32,3.81,6.09,1.22,17.79,Rate not different than Statewide Rate
0511,Winthrop Univ. Hosp,NY Metro - Long Island,NY Metro - Long Island,Emergency PCI,2008-2010,349,11,3.15,3.34,3.00,1.49,5.36,Rate not different than Statewide Rate
0001,Albany Medical Center,Capital District,Capital District,Valve or Valve/CABG,2008-2010,443,18,4.06,4.10,4.55,2.70,7.20,Rate not different than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Valve or Valve/CABG,2008-2010,110,5,4.55,2.99,6.97,2.25,16.27,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2008-2010,275,8,2.91,3.62,3.69,1.59,7.27,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2008-2010,330,25,7.58,4.78,7.27,4.71,10.74,Rate significantly higher than Statewide Rate
0207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,Valve or Valve/CABG,2008-2010,500,18,3.60,3.64,4.54,2.69,7.17,Rate not different than Statewide Rate
0135,Champ.Valley Phys Hosp,Capital District,Capital District,Valve or Valve/CABG,2008-2010,99,9,9.09,3.49,11.98,5.47,22.74,Rate significantly higher than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,Valve or Valve/CABG,2008-2010,325,8,2.46,3.70,3.06,1.32,6.02,Rate not different than Statewide Rate
0210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,Valve or Valve/CABG,2008-2010,49,2,4.08,4.10,4.57,0.51,16.50,Rate not different than Statewide Rate
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,Valve or Valve/CABG,2008-2010,180,7,3.89,3.84,4.65,1.86,9.57,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2008-2010,653,48,7.35,5.24,6.44,4.75,8.54,Rate significantly higher than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Valve or Valve/CABG,2008-2010,643,16,2.49,5.19,2.20,1.26,3.58,Rate significantly lower than Statewide Rate
0746,M I Bassett Hospital,Capital District,Capital District,Valve or Valve/CABG,2008-2010,120,1,0.83,2.97,1.29,0.02,7.17,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Valve or Valve/CABG,2008-2010,428,19,4.44,5.02,4.06,2.44,6.34,Rate not different than Statewide Rate
0213,Mercy Hospital,Western NY - Buffalo,Western NY - Buffalo,Valve or Valve/CABG,2008-2010,345,18,5.22,3.83,6.25,3.70,9.88,Rate not different than Statewide Rate
0215,Millard Fillmore Hosp,Western NY - Buffalo,Western NY - Buffalo,Valve or Valve/CABG,2008-2010,279,13,4.66,3.02,7.10,3.77,12.14,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Valve or Valve/CABG,2008-2010,457,21,4.60,5.04,4.19,2.59,6.41,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Valve or Valve/CABG,2008-2010,364,24,6.59,5.18,5.85,3.75,8.71,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2008-2010,1538,73,4.75,4.27,5.10,4.00,6.42,Rate not different than Statewide Rate
1637,NY Hospital - Queens,Queens,NY Metro - NYC,Valve or Valve/CABG,2008-2010,73,2,2.74,3.45,3.65,0.41,13.16,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,Valve or Valve/CABG,2008-2010,180,8,4.44,4.65,4.39,1.89,8.64,Rate not different than Statewide Rate
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2008-2010,1776,80,4.50,4.57,4.52,3.59,5.63,Rate not different than Statewide Rate
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2008-2010,1212,26,2.15,3.96,2.49,1.62,3.64,Rate significantly lower than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2008-2010,1213,39,3.22,3.42,4.32,3.07,5.90,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2008-2010,1398,60,4.29,5.08,3.88,2.96,4.99,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,Valve or Valve/CABG,2008-2010,979,56,5.72,4.94,5.32,4.02,6.91,Rate not different than Statewide Rate
1471,SVCMC- St. Vincents,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2008-2010,51,4,7.84,2.74,13.15,3.54,33.67,Rate not different than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,Valve or Valve/CABG,2008-2010,400,32,8.00,5.34,6.88,4.71,9.71,Rate significantly higher than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2008-2010,1963,108,5.50,5.38,4.70,3.85,5.67,Rate not different than Statewide Rate
0630,St. Josephs Hospital,Central NY,Central NY,Valve or Valve/CABG,2008-2010,1061,60,5.66,5.87,4.43,3.38,5.70,Rate not different than Statewide Rate
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2008-2010,258,12,4.65,4.10,5.20,2.69,9.09,Rate not different than Statewide Rate
0005,St. Peters Hospital,Capital District,Capital District,Valve or Valve/CABG,2008-2010,861,33,3.83,4.50,3.92,2.69,5.50,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,Valve or Valve/CABG,2008-2010,303,17,5.61,3.64,7.08,4.12,11.34,Rate not different than Statewide Rate
0413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,Valve or Valve/CABG,2008-2010,628,31,4.94,3.79,5.98,4.06,8.48,Rate not different than Statewide Rate
0058,UHS - Wilson Med Ctr,Central NY,Central NY,Valve or Valve/CABG,2008-2010,224,12,5.36,3.66,6.73,3.47,11.75,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,Valve or Valve/CABG,2008-2010,142,7,4.93,5.17,4.37,1.75,9.01,Rate not different than Statewide Rate
0245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2008-2010,557,38,6.82,6.06,5.17,3.66,7.09,Rate not different than Statewide Rate
0635,Univ. Hosp-Upstate,Central NY,Central NY,Valve or Valve/CABG,2008-2010,227,9,3.96,3.66,4.97,2.27,9.44,Rate not different than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Valve or Valve/CABG,2008-2010,513,8,1.56,4.36,1.64,0.71,3.24,Rate significantly lower than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Valve or Valve/CABG,2008-2010,503,15,2.98,5.19,2.64,1.48,4.35,Rate significantly lower than Statewide Rate
0511,Winthrop Univ. Hosp,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2008-2010,573,31,5.41,4.81,5.17,3.51,7.33,Rate not different than Statewide Rate
0000,NYS - All Hospitals,New York State,New York State,All PCI,2010,54035,454,0.84,0.84,0.84,,,Statewide Rate
0000,NYS - All Hospitals,New York State,New York State,Non-Emergency PCI,2010,46749,239,0.51,0.51,0.51,,,Statewide Rate
0000,NYS - All Hospitals,New York State,New York State,CABG,2010,9421,149,1.58,1.58,1.58,,,Statewide Rate
0000,NYS - All Hospitals,New York State,New York State,Emergency PCI,2008-2010,21618,686,3.17,3.17,3.17,,,Statewide Rate
0000,NYS - All Hospitals,New York State,New York State,Valve or Valve/CABG,2008-2010,22233,1021,4.59,4.59,4.59,,,Statewide Rate
0001,Albany Medical Center,Capital District,Capital District,All PCI,2011,1090,16,1.47,0.79,1.80,1.03,2.92,Rate significantly higher than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,All PCI,2011,496,3,0.60,1.02,0.57,0.12,1.68,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2011,479,10,2.09,1.21,1.68,0.80,3.08,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,All PCI,2011,1538,13,0.85,0.78,1.06,0.56,1.81,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,All PCI,2011,67,2,2.99,1.48,1.96,0.22,7.08,Rate not different than Statewide Rate
1286,Brookdale Hosp Med Ctr,Kings,NY Metro - NYC,All PCI,2011,209,3,1.44,1.35,1.03,0.21,3.02,Rate not different than Statewide Rate
0207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,All PCI,2011,1214,14,1.15,0.84,1.33,0.73,2.24,Rate not different than Statewide Rate
0977,Cayuga Med Ctr Ithaca,Central NY,Central NY,All PCI,2011,159,2,1.26,1.47,0.83,0.09,3.00,Rate not different than Statewide Rate
0135,Champ.Valley Phys Hosp,Capital District,Capital District,All PCI,2011,748,7,0.94,1.07,0.85,0.34,1.75,Rate not different than Statewide Rate
0636,Crouse Hospital,Central NY,Central NY,All PCI,2011,379,6,1.58,1.20,1.28,0.47,2.79,Rate not different than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,All PCI,2011,509,5,0.98,0.90,1.06,0.34,2.46,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2011,448,4,0.89,1.09,0.79,0.21,2.04,Rate not different than Statewide Rate
0210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,All PCI,2011,159,3,1.89,1.81,1.01,0.20,2.96,Rate not different than Statewide Rate
0599,Faxton - St. Lukes,Central NY,Central NY,All PCI,2011,275,4,1.45,0.71,1.98,0.53,5.06,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2011,231,1,0.43,0.68,0.62,0.01,3.44,Rate not different than Statewide Rate
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2011,606,5,0.83,1.17,0.68,0.22,1.59,Rate not different than Statewide Rate
0925,Good Sam - West Islip,NY Metro - Long Island,NY Metro - Long Island,All PCI,2011,663,4,0.60,0.54,1.09,0.29,2.79,Rate not different than Statewide Rate
0913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2011,256,2,0.78,0.82,0.92,0.10,3.32,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,All PCI,2011,220,11,5.00,1.71,2.84,1.42,5.08,Rate significantly higher than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,All PCI,2011,1812,12,0.66,0.72,0.89,0.46,1.55,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,All PCI,2011,1848,10,0.54,0.78,0.68,0.32,1.24,Rate not different than Statewide Rate
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,All PCI,2011,323,5,1.55,1.49,1.00,0.32,2.34,Rate not different than Statewide Rate
0746,M I Bassett Hospital,Capital District,Capital District,All PCI,2011,330,3,0.91,0.91,0.97,0.19,2.83,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,All PCI,2011,1076,13,1.21,1.51,0.77,0.41,1.32,Rate not different than Statewide Rate
0213,Mercy Hospital,Western NY - Buffalo,Western NY - Buffalo,All PCI,2011,693,8,1.15,0.94,1.19,0.51,2.34,Rate not different than Statewide Rate
0215,Millard Fillmore Hosp,Western NY - Buffalo,Western NY - Buffalo,All PCI,2011,643,5,0.78,0.85,0.88,0.28,2.06,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,All PCI,2011,628,2,0.32,0.83,0.37,0.04,1.34,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,All PCI,2011,533,10,1.88,1.32,1.38,0.66,2.53,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,All PCI,2011,4676,27,0.58,0.71,0.79,0.52,1.14,Rate not different than Statewide Rate
1637,NY Hospital - Queens,Queens,NY Metro - NYC,All PCI,2011,676,5,0.74,0.86,0.83,0.27,1.94,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,All PCI,2011,1480,11,0.74,0.66,1.08,0.54,1.94,Rate not different than Statewide Rate
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,All PCI,2011,3010,19,0.63,0.99,0.62,0.37,0.96,Rate significantly lower than Statewide Rate
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,All PCI,2011,1359,21,1.55,1.26,1.18,0.73,1.81,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,All PCI,2011,1116,8,0.72,0.62,1.11,0.48,2.19,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2011,1592,10,0.63,1.17,0.52,0.25,0.95,Rate significantly lower than Statewide Rate
0699,Orange Regional Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2011,539,2,0.37,0.84,0.43,0.05,1.54,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2011,1608,15,0.93,0.91,1.00,0.56,1.64,Rate not different than Statewide Rate
0527,South Nassau Com. Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2011,565,7,1.24,1.20,1.00,0.40,2.06,Rate not different than Statewide Rate
0924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2011,559,4,0.72,0.65,1.07,0.29,2.75,Rate not different than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,All PCI,2011,51,1,1.96,0.73,2.62,0.03,14.57,Rate not different than Statewide Rate
0943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,All PCI,2011,253,2,0.79,0.88,0.87,0.10,3.14,Rate not different than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,All PCI,2011,886,8,0.90,0.89,0.99,0.42,1.94,Rate not different than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2011,2641,27,1.02,1.02,0.97,0.64,1.41,Rate not different than Statewide Rate
0630,St. Josephs Hospital,Central NY,Central NY,All PCI,2011,2195,20,0.91,0.94,0.94,0.57,1.45,Rate not different than Statewide Rate
0694,St. Lukes Crnwll-Newbrg,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2011,325,5,1.54,1.04,1.44,0.46,3.35,Rate not different than Statewide Rate
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,All PCI,2011,514,10,1.95,1.39,1.35,0.65,2.49,Rate not different than Statewide Rate
0005,St. Peters Hospital,Capital District,Capital District,All PCI,2011,782,9,1.15,1.14,0.98,0.45,1.87,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,All PCI,2011,986,11,1.12,1.06,1.02,0.51,1.82,Rate not different than Statewide Rate
0413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2011,893,8,0.90,1.12,0.78,0.33,1.53,Rate not different than Statewide Rate
0058,UHS - Wilson Med Ctr,Central NY,Central NY,All PCI,2011,745,8,1.07,1.17,0.89,0.38,1.75,Rate not different than Statewide Rate
0471,Unity Hospital,Western NY - Rochester,Western NY - Rochester,All PCI,2011,238,4,1.68,1.41,1.16,0.31,2.96,Rate not different than Statewide Rate
1302,Univ. Brooklyn @ LICH,Kings,NY Metro - NYC,All PCI,2011,195,2,1.03,1.69,0.59,0.07,2.12,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,All PCI,2011,433,6,1.39,0.95,1.42,0.52,3.08,Rate not different than Statewide Rate
0245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,All PCI,2011,1479,23,1.56,1.23,1.22,0.77,1.84,Rate not different than Statewide Rate
0635,Univ. Hosp-Upstate,Central NY,Central NY,All PCI,2011,273,5,1.83,1.68,1.06,0.34,2.47,Rate not different than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2011,663,7,1.06,1.08,0.95,0.38,1.96,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2011,727,10,1.38,1.21,1.10,0.53,2.02,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2011,241,4,1.66,1.06,1.52,0.41,3.90,Rate not different than Statewide Rate
0511,Winthrop Univ. Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2011,905,5,0.55,0.95,0.56,0.18,1.31,Rate not different than Statewide Rate
0001,Albany Medical Center,Capital District,Capital District,Non-Emergency PCI,2011,919,8,0.87,0.58,0.99,0.42,1.94,Rate not different than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2011,388,0,0.00,0.60,0.00,0.00,1.04,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2011,365,5,1.37,0.87,1.03,0.33,2.40,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2011,1423,9,0.63,0.54,0.76,0.35,1.45,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,Non-Emergency PCI,2011,5,0,0.00,0.34,0.00,0.00,140.57,Rate not different than Statewide Rate
1286,Brookdale Hosp Med Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2011,156,2,1.28,1.14,0.74,0.08,2.66,Rate not different than Statewide Rate
0207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2011,1069,10,0.94,0.66,0.92,0.44,1.70,Rate not different than Statewide Rate
0977,Cayuga Med Ctr Ithaca,Central NY,Central NY,Non-Emergency PCI,2011,101,0,0.00,0.56,0.00,0.00,4.27,Rate not different than Statewide Rate
0135,Champ.Valley Phys Hosp,Capital District,Capital District,Non-Emergency PCI,2011,625,2,0.32,0.53,0.39,0.04,1.42,Rate not different than Statewide Rate
0636,Crouse Hospital,Central NY,Central NY,Non-Emergency PCI,2011,295,2,0.68,0.40,1.10,0.12,3.96,Rate not different than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,Non-Emergency PCI,2011,340,2,0.59,0.63,0.61,0.07,2.21,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2011,308,1,0.32,0.50,0.43,0.01,2.37,Rate not different than Statewide Rate
0210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2011,74,0,0.00,0.65,0.00,0.00,5.00,Rate not different than Statewide Rate
0599,Faxton - St. Lukes,Central NY,Central NY,Non-Emergency PCI,2011,231,3,1.30,0.38,2.25,0.45,6.56,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,Non-Emergency PCI,2011,167,0,0.00,0.37,0.00,0.00,3.92,Rate not different than Statewide Rate
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2011,448,4,0.89,0.69,0.85,0.23,2.17,Rate not different than Statewide Rate
0925,Good Sam - West Islip,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2011,587,3,0.51,0.40,0.84,0.17,2.46,Rate not different than Statewide Rate
0913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2011,188,2,1.06,0.50,1.39,0.16,5.02,Rate not different than Statewide Rate
